Név;Darabszám;Ár;Kategória;GyorsanAvuló;Műszakiparaméterek
iPhone13ProMax;35;1299;Okostelefon;F;A15Bionicchip#6.7hüvelykesSuperRetinaXDRkijelző#háromkamerarendszer(12MP)
SamsungGalaxyS21Ultra;70;1199;Okostelefon;F;Exynos2100/Snapdragon888chip#6.8hüvelykesDynamicAMOLED2Xkijelző#négyhátsókamera(108MP)
GooglePixel6Pro;40;899;Okostelefon;T;GoogleTensorchip#6.7hüvelykesFluidAMOLEDkijelző#duplahátsókamera(50MP)
OnePlus9Pro;25;1069;Okostelefon;T;QualcommSnapdragon888chip#6.7hüvelykesFluidAMOLEDkijelző#négyhátsókamera(48MP)
XiaomiMi11;60;749;Okostelefon;F;QualcommSnapdragon888chip#6.81hüvelykesAMOLEDkijelző#háromhátsókamera(108MP)
LogitechMXMaster3;80;100;Egér;F;MagaspontosságúDarkfieldszenzor(4000DPI)#7programozhatógomb#BluetoothésUnifyingcsatlakozás
RazerDeathAdderV2;65;70;Egér;F;Optikaiszenzor(20000DPI)#8programozhatógomb#RazerSpeedFlexkábel
MicrosoftSurfacePrecisionMouse;30;100;Egér;F;3különállógomb#BluetoothésUSBcsatlakozás#4000DPIérzékenység
SteelSeriesRival650Wireless;45;120;Egér;T;TrueMove3+optikaiszenzor(12000CPI)#7programozhatógomb#24órásakkumulátorélettartam
CorsairDarkCoreRGBPro;20;90;Egér;T;Optikaiszenzor(18000DPI)#Qivezetéknélkültöltés#9programozhatógomb
HPLaserJetProMFPM428fdw;35;350;Nyomtató;T;38oldal/percnyomtatásisebesség#automatikusduplexnyomtatás#Wi-FiDirectésEthernetcsatlakozás
EpsonEcoTankET-4760;50;500;Nyomtató;T;Színestintasugarasnyomtatás#beépítetttintatartályrendszer#automatikuskétoldalasnyomtatás
CanonPIXMATS8320;75;130;Nyomtató;F;6színűtintarendszer#beépítettSDkártyaolvasó#automatikuskétoldalasnyomtatás
BrotherHL-L2350DW;40;130;Nyomtató;T;32oldal/percnyomtatásisebesség#automatikusduplexnyomtatás#Wi-FiésEthernetcsatlakozás
DellE310dw;30;130;Nyomtató;F;27oldal/percnyomtatásisebesség#automatikusduplexnyomtatás#Wi-FiésEthernetcsatlakozás
MacBookPro16hüvelykes(Apple);45;2399;Laptop;F;AppleM1Pro/M1Maxchip#16hüvelykesRetinakijelző#16/32GBRAM
DellXPS13;70;999;Laptop;F;IntelCorei5/i7chip#13.4hüvelykesInfinityEdgekijelző#8/16GBRAM
LenovoThinkPadX1Carbon;55;1399;Laptop;F;IntelCorei5/i7chip#14hüvelykesFullHDvagy4Kkijelző#8/16GBRAM
AsusROGZephyrusG14;35;1199;Laptop;T;AMDRyzen9chip#14hüvelykesWQHDvagy1080pkijelző#16GBRAM
CorsairK95RGBPlatinumXT;25;200;Billentyűzet;T;CherryMXRGBBrownkapcsolók#programozhatóGésmultimédiabillentyűk#dinamikusRGBháttérvilágítás
LogitechGProX;40;130;Billentyűzet;T;SwappableGXBluekapcsolók#programozhatóFésGbombok#LIGHTSYNCRGBháttérvilágítás
RazerBlackWidowV3Pro;30;230;Billentyűzet;T;RazerGreenmechanikuskapcsolók#programozhatóGbombok#RazerChromaRGBháttérvilágítás
SteelSeriesApexProTKL;20;180;Billentyűzet;F;Omnipointkapcsolók#programozhatómacroésmultimédiagombok#dinamikusRGBháttérvilágítás
MicrosoftSurfaceErgonomicKeyboard;15;130;Billentyűzet;F;Splitdesign#állíthatólejtő#BluetoothésUSBcsatlakozás
